game,year,games_sold,rank
Super Mario World for SNES,1991,20.61,1
Sonic the Hedgehog for GEN,1991,15.0,2
Donkey Kong Country for SNES,1994,9.3,1
Super Mario Land 3: Wario Land for GB,1994,5.19,2
Mario Kart Wii for Wii,2008,37.32,1
Wii Fit for Wii,2008,22.67,2
Super Smash Bros. Brawl for Wii,2008,13.32,3
Grand Theft Auto IV for X360,2008,11.09,4
Grand Theft Auto IV for PS3,2008,10.57,5
Portal for PC,2008,9.97,6
Call of Duty: World at War for X360,2008,7.5,7
Metal Gear Solid 4: Guns of the Patriots for PS3,2008,6.0,8
Call of Duty: World at War for PS3,2008,5.43,9
Gran Turismo 5 Prologue for PS3,2008,5.35,10
Mario & Sonic at the Olympic Games for DS,2008,5.1,11
Gears of War 2 for X360,2008,5.0,12
Fallout 3 for X360,2008,4.96,13
Pokemon Mystery Dungeon: Explorers of Time / Darkness for DS,2008,4.88,14
Left 4 Dead for PC,2008,4.6,15
LittleBigPlanet for PS3,2008,4.5,16
Professor Layton and the Curious Village for DS,2008,4.49,17
Animal Crossing: City Folk for Wii,2008,4.32,18
Fallout 3 for PS3,2008,4.0,19
World of Warcraft: Wrath of the Lich King for PC,2008,4.0,19
Myst for PC,1995,6.3,1
Donkey Kong Country 2: Diddy's Kong Quest for SNES,1995,5.15,2
Super Mario World 2: Yoshi's Island for SNES,1995,4.12,3
Pokemon Gold / Silver Version for GB,2000,23.1,1
Final Fantasy IX for PS,2000,5.5,2
Pokemon Stadium for N64,2000,5.46,3
Driver 2 for PS,2000,4.73,4
Tony Hawk's Pro Skater 2 for PS,2000,4.68,5
Counter-Strike for PC,2000,4.2,6
Tekken Tag Tournament for PS2,2000,4.05,7
Diablo II for PC,2000,4.0,8
Call of Duty: Black Ops 3 for PS4,2015,15.09,1
Grand Theft Auto V for PC,2015,12.6,2
The Witcher 3: Wild Hunt for PC,2015,12.4,3
The Witcher 3: Wild Hunt for PS4,2015,10.8,4
Fallout 4 for PS4,2015,8.48,5
FIFA 16 for PS4,2015,8.22,6
Star Wars Battlefront (2015) for PS4,2015,8.03,7
Call of Duty: Black Ops 3 for XOne,2015,7.37,8
Fallout 4 for PC,2015,6.6,9
Cities: Skylines for PC,2015,6.0,10
Uncharted: The Nathan Drake Collection for PS4,2015,5.7,11
Fallout 4 for XOne,2015,5.03,12
Halo 5: Guardians for XOne,2015,5.0,13
Splatoon for WiiU,2015,4.95,14
ARK: Survival Evolved for PC,2015,4.5,15
Tom Clancy's Rainbow Six: Siege for PS4,2015,4.36,16
The Witcher 3: Wild Hunt for XOne,2015,4.3,17
Monster Hunter 4 Ultimate for 3DS,2015,4.2,18
Star Wars Battlefront (2015) for XOne,2015,4.15,19
Batman: Arkham Knight for PS4,2015,4.11,20
Super Mario Maker for WiiU,2015,4.01,21
Asteroids for 2600,1981,4.31,1
PLAYERUNKNOWN'S BATTLEGROUNDS for PC,2017,36.6,1
Mario Kart 8 Deluxe for NS,2017,24.77,2
Super Mario Odyssey for NS,2017,17.41,3
The Legend of Zelda: Breath of the Wild for NS,2017,17.41,3
Call of Duty: WWII for PS4,2017,13.4,5
FIFA 18 for PS4,2017,11.8,6
Splatoon 2 for NS,2017,10.13,7
Horizon: Zero Dawn for PS4,2017,10.0,8
Pokemon: Ultra Sun and Ultra Moon for 3DS,2017,8.77,9
Call of Duty: WWII for XOne,2017,6.23,10
Crash Bandicoot N. Sane Trilogy for PS4,2017,4.83,11
Star Wars Battlefront II (2017) for PS4,2017,4.53,12
Destiny 2 for PS4,2017,4.14,13
Assassin's Creed Origins for PS4,2017,4.06,14
Nintendogs for DS,2005,23.96,1
Mario Kart DS for DS,2005,23.6,2
Gran Turismo 4 for PS2,2005,11.76,3
Animal Crossing: Wild World for DS,2005,11.75,4
Grand Theft Auto: Liberty City Stories for PSP,2005,7.72,5
Pokemon Emerald Version for GBA,2005,7.06,6
Guild Wars for PC,2005,6.5,7
Madden NFL 06 for PS2,2005,4.91,8
Dragon Quest VIII: Journey of the Cursed King for PS2,2005,4.9,9
God of War for PS2,2005,4.62,10
Need for Speed: Most Wanted for PS2,2005,4.37,11
FIFA Soccer 06 for PS2,2005,4.21,12
Namco Museum: 50th Anniversary for PS2,2005,3.98,13
Super Mario All-Stars for SNES,1993,10.55,1
Street Fighter II Turbo for SNES,1993,4.1,2
Disney's Aladdin for GEN,1993,4.0,3
Minecraft for PC,2010,33.15,1
Kinect Adventures! for X360,2010,24.0,2
Call of Duty: Black Ops for X360,2010,14.74,3
Pokemon Heart Gold / Soul Silver Version for DS,2010,12.72,4
Call of Duty: Black Ops for PS3,2010,12.67,5
Gran Turismo 5 for PS3,2010,11.95,6
Halo: Reach for X360,2010,9.97,7
Wii Party for Wii,2010,9.34,8
God of War III for PS3,2010,7.6,9
Super Mario Galaxy 2 for Wii,2010,7.41,10
Donkey Kong Country Returns for Wii,2010,6.53,11
Red Dead Redemption for X360,2010,6.5,12
Dragon Quest IX: Sentinels of the Starry Skies for DS,2010,5.5,13
Final Fantasy XIII for PS3,2010,5.35,14
Just Dance 2 for Wii,2010,5.25,15
Fallout: New Vegas for PC,2010,5.22,16
Fable III for X360,2010,5.1,17
FIFA Soccer 11 for PS3,2010,5.08,18
Monster Hunter Freedom 3 for PSP,2010,4.9,19
World of Warcraft: Cataclysm for PC,2010,4.7,20
Arma 2: Operation Arrowhead for PC,2010,4.51,21
StarCraft II: Wings of Liberty for PC,2010,4.5,22
Michael Jackson: The Experience for Wii,2010,4.37,23
Just Cause 2 for PC,2010,4.16,24
Fallout: New Vegas for X360,2010,4.08,25
Super Mario Bros. 3 for NES,1990,17.28,1
Dr. Mario for GB,1990,5.34,2
Dr. Mario for NES,1990,4.85,3
Super Smash Bros. Ultimate for NS,2018,18.84,1
Red Dead Redemption 2 for PS4,2018,13.94,2
Marvel's Spider-Man for PS4,2018,13.2,3
"Pokemon: Let's Go, Pikachu/Eevee for NS",2018,11.97,4
God of War (2018) for PS4,2018,11.0,5
Super Mario Party for NS,2018,10.1,6
Call of Duty: Black Ops IIII for PS4,2018,9.32,7
FIFA 19 for PS4,2018,9.15,8
Rust for PC,2018,9.02,9
Red Dead Redemption 2 for XOne,2018,5.77,10
Call of Duty: Black Ops IIII for XOne,2018,4.85,11
"Pokemon: Let's Go, Pikachu! for NS",2018,4.57,12
Monster Hunter: World for PS4,2018,4.0,13
Pokemon Red / Green / Blue Version for GB,1998,31.38,1
StarCraft for PC,1998,11.0,2
Gran Turismo for PS,1998,10.85,3
Half-Life for PC,1998,9.3,4
Tekken 3 for PS,1998,8.3,5
The Legend of Zelda: Ocarina of Time for N64,1998,7.6,6
Crash Bandicoot 3: Warped for PS,1998,7.13,7
Metal Gear Solid for PS,1998,6.0,8
Spyro the Dragon for PS,1998,5.0,9
Resident Evil 2 for PS,1998,4.96,10
Super Mario 64 for N64,1996,11.91,1
Crash Bandicoot for PS,1996,6.82,2
Tekken 2 for PS,1996,5.74,3
Microsoft Flight Simulator for PC,1996,5.12,4
Tomb Raider for PS,1996,4.63,5
Grand Theft Auto V for PS4,2014,19.39,1
Pokemon Omega Ruby/Pokemon Alpha Sapphire for 3DS,2014,14.27,2
The Last of Us Remastered for PS4,2014,11.78,3
Super Smash Bros. for 3DS for 3DS,2014,9.59,4
Grand Theft Auto V for XOne,2014,8.72,5
Mario Kart 8 for WiiU,2014,8.45,6
Call of Duty: Advanced Warfare for PS4,2014,7.53,7
Tomodachi Life for 3DS,2014,6.59,8
Minecraft for PS4,2014,6.33,9
FIFA 15 for PS4,2014,6.32,10
Minecraft for PS3,2014,6.05,11
Destiny for PS4,2014,5.76,12
Minecraft for XOne,2014,5.43,13
Super Smash Bros. for Wii U for WiiU,2014,5.37,14
The Forest for PC,2014,5.3,15
Call of Duty: Advanced Warfare for XOne,2014,5.22,16
FIFA 15 for PS3,2014,4.56,17
Call of Duty: Advanced Warfare for X360,2014,4.34,18
Watch Dogs for PS4,2014,4.32,19
Starbound for PC,2014,4.31,20
Call of Duty: Advanced Warfare for PS3,2014,4.27,21
Assassin's Creed: Unity for PS4,2014,4.14,22
The Sims 4 for PC,2014,4.1,23
Far Cry 4 for PS4,2014,4.06,24
Animal Crossing: New Horizons for NS,2020,13.41,1
The Last of Us: Part II for PS4,2020,4.0,2
Super Mario Bros. for NES,1985,40.24,1
Duck Hunt for NES,1985,28.31,2
Excitebike for NES,1985,4.16,3
Golf for NES,1985,4.01,4
Pac-Man for 2600,1982,7.7,1
Pitfall! for 2600,1982,4.5,2
Pokemon Yellow: Special Pikachu Edition for GB,1999,14.64,1
Gran Turismo 2 for PS,1999,9.37,2
Final Fantasy VIII for PS,1999,8.6,3
Driver for PS,1999,6.27,4
Super Smash Bros. for N64,1999,5.55,5
Pokemon Pinball for GBC,1999,5.31,6
Donkey Kong 64 for N64,1999,5.27,7
Super Mario Bros. Deluxe for GB,1999,5.07,8
Tony Hawk's Pro Skater for PS,1999,5.02,9
Warzone 2100 for PS,1999,5.01,10
Crash Team Racing for PS,1999,4.79,11
Uncharted 4: A Thief's End for PS4,2016,16.25,1
Pokemon Sun/Moon for 3DS,2016,16.18,2
FIFA 17 for PS4,2016,10.94,3
Call of Duty: Infinite Warfare for PS4,2016,8.48,4
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters for 3DS,2016,7.29,5
Battlefield 1 for PS4,2016,7.26,6
Sid Meier's Civilization VI for PC,2016,5.5,7
Battlefield 1 for XOne,2016,5.13,8
Final Fantasy XV for PS4,2016,5.07,9
Stardew Valley for PC,2016,4.91,10
Call of Duty: Infinite Warfare for XOne,2016,4.79,11
Overwatch for PS4,2016,4.54,12
Tom Clancy's The Division for PS4,2016,4.37,13
Monster Hunter Generations for 3DS,2016,4.3,14
Grand Theft Auto V for PS3,2013,20.32,1
Pokemon X/Y for 3DS,2013,16.45,2
Grand Theft Auto V for X360,2013,15.86,3
Minecraft for X360,2013,13.0,4
Animal Crossing: New Leaf for 3DS,2013,12.55,5
Call of Duty: Ghosts for X360,2013,10.41,6
Call of Duty: Ghosts for PS3,2013,10.13,7
The Last of Us for PS3,2013,8.15,8
FIFA 14 for PS3,2013,6.61,9
Luigi's Mansion: Dark Moon for 3DS,2013,6.16,10
Euro Truck Simulator 2 for PC,2013,5.98,11
Super Mario 3D World for WiiU,2013,5.84,12
Age of Empires II: HD Edition for PC,2013,5.82,13
Tomb Raider (2013) for PC,2013,5.5,14
Gran Turismo 6 for PS3,2013,5.22,15
BioShock Infinite for PC,2013,4.56,16
7 Days to Die for PC,2013,4.18,17
Call of Duty: Ghosts for PS4,2013,4.17,18
FIFA 14 for X360,2013,4.15,19
Monster Hunter 4 for 3DS,2013,4.1,20
The Legend of Zelda: A Link Between Worlds for 3DS,2013,4.07,21
Arma III for PC,2013,4.0,22
Call of Duty: Modern Warfare for PS4,2019,30.13,1
Pokemon Sword / Shield for NS,2019,17.37,2
NBA 2K20 for PS4,2019,8.0,3
FIFA 20 for PS4,2019,7.15,4
New Super Mario Bros. U Deluxe for NS,2019,6.6,5
Luigi's Mansion 3 for NS,2019,6.33,6
Super Mario Maker 2 for NS,2019,5.48,7
The Legend of Zelda: Link's Awakening for NS,2019,4.38,8
Mortal Kombat 11 for PS4,2019,4.2,9
Pokemon Ruby / Sapphire Version for GBA,2003,16.22,1
Need for Speed Underground for PS2,2003,7.2,2
Mario Kart: Double Dash!! for GC,2003,6.88,3
Final Fantasy X-2 for PS2,2003,5.5,4
Super Mario Advance 4: Super Mario Bros. 3 for GBA,2003,5.43,5
Madden NFL 2004 for PS2,2003,5.23,6
Medal of Honor: Rising Sun for PS2,2003,5.13,7
The Simpsons: Hit & Run for PS2,2003,4.7,8
The Legend of Zelda: The Wind Waker for GC,2003,4.43,9
EyeToy Play for PS2,2003,4.0,10
Tetris for GB,1989,30.26,1
Super Mario Land for GB,1989,18.14,2
Tetris for NES,1989,5.58,3
Teenage Mutant Ninja Turtles for NES,1989,4.17,4
Super Mario Land 2: 6 Golden Coins for GB,1992,11.18,1
Super Mario Kart for SNES,1992,8.76,2
Street Fighter II: The World Warrior for SNES,1992,6.3,3
Sonic the Hedgehog 2 for GEN,1992,6.0,4
Kirby's Dream Land for GB,1992,5.13,5
The Legend of Zelda: A Link to the Past for SNES,1992,4.61,6
Final Fantasy VII for PS,1997,9.9,1
Mario Kart 64 for N64,1997,9.87,2
GoldenEye 007 for N64,1997,8.09,3
Crash Bandicoot 2: Cortex Strikes Back for PS,1997,7.58,4
Tomb Raider II for PS,1997,5.24,5
Diddy Kong Racing for N64,1997,4.88,6
Riven: The Sequel to Myst for PC,1997,4.5,7
Frogger for PS,1997,4.16,8
Namco Museum Vol.3 for PS,1997,4.05,9
Star Fox 64 for N64,1997,4.0,10
Wii Play for Wii,2007,28.02,1
Pokemon Diamond / Pearl Version for DS,2007,17.67,2
Brain Age 2: More Training in Minutes a Day for DS,2007,14.88,3
Halo 3 for X360,2007,14.5,4
Super Mario Galaxy for Wii,2007,12.8,5
Call of Duty 4: Modern Warfare for X360,2007,9.41,6
Mario Party DS for DS,2007,9.31,7
Mario Party 8 for Wii,2007,8.85,8
Call of Duty 4: Modern Warfare for PS3,2007,6.72,9
Link's Crossbow Training for Wii,2007,5.79,10
LEGO Star Wars: The Complete Saga for Wii,2007,5.66,11
Assassin's Creed for X360,2007,5.55,12
Guitar Hero III: Legends of Rock for PS2,2007,4.98,13
Uncharted: Drake's Fortune for PS3,2007,4.97,14
Assassin's Creed for PS3,2007,4.83,15
LEGO Star Wars: The Complete Saga for DS,2007,4.77,16
The Legend of Zelda: Phantom Hourglass for DS,2007,4.76,17
Guitar Hero III: Legends of Rock for Wii,2007,4.6,18
Guitar Hero III: Legends of Rock for X360,2007,4.53,19
Winning Eleven: Pro Evolution Soccer 2007 for PS2,2007,4.39,20
God of War II for PS2,2007,4.24,21
Super Paper Mario for Wii,2007,4.23,22
Carnival Games for Wii,2007,4.06,23
Forza Motorsport 2 for X360,2007,4.05,24
Wii Sports Resort for Wii,2009,33.13,1
New Super Mario Bros. Wii for Wii,2009,30.3,2
Wii Fit Plus for Wii,2009,21.13,3
Call of Duty: Modern Warfare 2 for X360,2009,13.53,4
Call of Duty: Modern Warfare 2 for PS3,2009,10.61,5
The Sims 3 for PC,2009,7.96,6
Pokemon Platinum Version for DS,2009,7.6,7
Uncharted 2: Among Thieves for PS3,2009,6.74,8
Halo 3: ODST for X360,2009,6.35,9
Assassin's Creed II for PS3,2009,5.57,10
Forza Motorsport 3 for X360,2009,5.5,11
Assassin's Creed II for X360,2009,5.3,12
Resident Evil 5 for PS3,2009,5.1,13
Gran Turismo for PSP,2009,4.67,14
Mario & Luigi: Bowser's Inside Story for DS,2009,4.56,15
Mario & Sonic at the Olympic Winter Games for Wii,2009,4.54,16
The Elder Scrolls IV: Oblivion for X360,2009,4.47,17
Batman: Arkham Asylum for PS3,2009,4.28,18
Street Fighter IV for PS3,2009,4.19,19
Just Dance for Wii,2009,4.0,20
Super Mario Bros. 2 for NES,1988,7.46,1
Zelda II: The Adventure of Link for NES,1988,4.38,2
Grand Theft Auto: Vice City for PS2,2002,16.15,1
Medal of Honor: Frontline for PS2,2002,6.83,2
Kingdom Hearts for PS2,2002,6.3,3
Super Mario Sunshine for GC,2002,5.91,4
Super Mario World: Super Mario Advance 2 for GBA,2002,5.69,5
The Lord of the Rings: The Two Towers for PS2,2002,4.67,6
Warcraft III: Reign of Chaos for PC,2002,4.5,7
Spider-Man: The Movie for PS2,2002,4.48,8
Madden NFL 2003 for PS2,2002,4.14,9
Counter-Strike: Global Offensive for PC,2012,40.0,1
Call of Duty: Black Ops II for X360,2012,13.86,2
Call of Duty: Black Ops II for PS3,2012,13.8,3
New Super Mario Bros. 2 for 3DS,2012,13.34,4
Diablo III for PC,2012,12.0,5
Halo 4 for X360,2012,9.96,6
Pokemon Black 2 and White 2 for DS,2012,8.52,7
FIFA 13 for PS3,2012,8.01,8
Guild Wars 2 for PC,2012,7.0,9
Just Dance 4 for Wii,2012,6.89,10
Assassin's Creed III for PS3,2012,6.5,11
New Super Mario Bros. U for WiiU,2012,5.8,12
Assassin's Creed III for X360,2012,5.31,13
Nintendo Land for WiiU,2012,5.2,14
FIFA 13 for X360,2012,5.11,15
Grand Theft Auto: San Andreas for PS2,2004,17.3,1
